feature,score
government,0.922540790470324
therapy,0.9176388648520787
hold,0.9135873481866967
find,0.912840364130911
culture,0.9087365537310592
hashtag_climatechange,0.9049582886533425
coronavirus,0.9048104288870429
analysis,0.9046213157457995
mood,0.9044989897682707
tell,0.9040390139910761
medicine,0.9024993764073423
arrest,0.9023802474624006
review,0.9005194109886908
dude,0.9003511641167274
high school,0.8985220479888429
planet,0.8913277055889353
sexual,0.8887702184788427
shit,0.8840970291755506
show,0.8805212516481786
warm,0.877707025026746
change people,0.8775235968577869
drink,0.8742125539977974
bundle,0.8707527851651337
conference,0.8697689750624884
woman,0.8674328461497982
trade,0.8627780427382298
solution,0.8622117920852568
reduce,0.8616499571503979
level,0.8604607516217677
stand,0.8583541255656287
north,0.857740991157442
call,0.8562930044777999
guy,0.8555907761921207
adverse,0.8552560243339165
word,0.8549863922316365
covid,0.8534358043974815
white,0.8530711517544058
opinion,0.8528817374129066
offer,0.8512282931532278
USER stop,0.8502292866577947
nation,0.8495562028342687
hope,0.8461054838315751
social,0.8435963312815704
college,0.8364045419833004
pandemic,0.8360164308068747
man,0.8351765628661685
idea,0.8343802932822423
expect,0.8335737884922753
datum,0.8333875862907087
wear,0.8317892893422991
letter,0.8317713697381904
support USER,0.8313623374240224
ground,0.8306824217103448
professional,0.8216812869439221
important,0.8198115470190067
infection,0.8196554176967552
gain,0.8145900887308767
army,0.8133179630204455
attention,0.8118064523795301
site,0.8104839546671047
extend,0.8062511761677655
crime,0.8000428790677842
crisis,0.7967800492275283
event,0.7921802623956333
claim,0.7911605590273667
matter,0.789647610766846
turn,0.7877797177716928
coach,0.7873192964347586
course,0.7811163473016116
national,0.7810644554357364
attempt,0.7782037022135679
send,0.7766127549582423
user,0.7754247809717757
specie,0.7748611657533062
world url,0.7690439765004056
decade,0.7682275861670191
radio,0.7649191842303348
knee,0.7649188643878966
party,0.7641638723223664
protect,0.7636761415676652
stroke,0.7626923509463623
reality,0.7611942566421797
lower,0.7557284359766874
cause death,0.7504349904681273
age,0.7461348908017784
lead,0.742818370619418
tired,0.7404112415945923
patient,0.7391450147981429
note,0.7390171168498698
surface,0.7360279799887137
structure,0.7292458993672735
put,0.7284105759780455
agent,0.7273944822020604
scar,0.7264645346195093
youth,0.7241249505021335
content,0.721017341572052
act,0.7190158173262012
wrong,0.7174514970555941
discuss,0.715565162770649
disease,0.7147390704095258
alert,0.7145087078457357
happen,0.7115359702479165
muscle,0.7098630528274015
story,0.704808472775719
learn url,0.7047228621855092
murder,0.7037023623834443
harm,0.7012529388838369
guarantee,0.7004423798343855
oral history,0.6969385327231686
hashtag_jobs,0.6962838503878838
family,0.694444099251076
business,0.693729435977747
power,0.6881093230841464
fan,0.6876543947194593
individual,0.685083202031961
april,0.6843541895173387
april url,0.6843541895173387
baby,0.683014656619251
stress,0.6829850347547263
science url,0.6817489640745027
committee,0.6815818664793272
news,0.6814032776079293
hand,0.6811257323984576
resource,0.6808646679103083
overview,0.6796180060336017
americans,0.679176496798671
listen,0.6773266112739293
beat,0.6768291468316399
line,0.6751610917980959
academic,0.6741675148510318
think,0.6727950268277505
home,0.6665098725643963
transmission,0.66178298847722
immunity,0.6597821428616468
strike,0.6592866100685628
excellent,0.6577535452052363
march,0.6560382251037102
outcome,0.6559227518655941
police,0.6543532743470226
encourage,0.6533920124154651
improve,0.6532844839329957
muslim,0.6491700582159229
asia,0.6481261039719326
sport,0.6471057988203278
wish,0.6459209287663594
information,0.644558530924767
slaughter,0.6439764878517322
book,0.6412870598342546
learn,0.6402674183440749
support url,0.6353128593585479
research url,0.6349428261246812
san,0.6348503082562045
oppose,0.6342221313820466
hashtag_covid19,0.6334644388795511
rice,0.6319632022311085
suicide,0.6272311904068664
scene,0.6271676963182352
group support,0.626792861307246
lifestyle,0.6258306249411303
design,0.6226913053658756
sell,0.6219967109067182
database,0.6211183937727165
morning,0.6199617405005234
loss,0.6192131834530228
team,0.6178917111065024
black,0.61620147008137
open,0.614246340045095
get,0.6139026419867547
scary,0.6081971971023984
movie,0.6067474005615511
model,0.6014839738019119
test,0.601369104672707
pray,0.6008141110090894
thinking,0.5980298920092957
look good,0.5961987046942823
office,0.591090255727452
function,0.5876387064712763
physical,0.5861675001605438
director,0.5842990560153829
run,0.58310574801258
country,0.5816234532322275
hear,0.5811450585459963
election,0.5794555461588017
minute,0.5785913131295185
ice,0.578144930803417
chance,0.5779671335292385
appreciate,0.5770517040977621
school,0.572805562450275
develop,0.5692784665596895
bully,0.5678058048096395
make,0.5598288241718716
china,0.5561991322513377
channel,0.5553298407650424
return,0.5541894629382529
bill,0.5541342342299376
weight,0.5538276371653038
submit,0.5520052067830293
late,0.5514451264871115
officer,0.5462678663690173
medical,0.5448105467125601
survey,0.5440506627314418
fuck,0.5386674780049939
john,0.5358032706138658
lol,0.5328794025096105
liverpool,0.532848232265254
staff,0.5314151379910665
dietary,0.5310150389365287
spend,0.5308200030798683
present,0.5242721303333943
night,0.523838572150123
player,0.5218300487645003
special,0.5216339245584798
job,0.5216033986210571
treatment,0.5195702141103705
god,0.5193587993303067
light,0.5190537241689354
pressure,0.5182120324420998
christmas,0.5159083044802001
provide,0.5144155228067023
people stop,0.5079009347988402
